text,intent
Как использовать промокод?,marketing_question
Какие товары участвуют в акции?,marketing_question
Что нужно для получения бонусов?,marketing_question
Есть ли скидки для постоянных клиентов?,marketing_question
Хочу участвовать в распродажах,marketing_question
Сколько бонусов у меня?,marketing_question
Как проверить скидки?,marketing_question
Подарки за покупки есть?,marketing_question
Какие у вас маркетинговые предложения?,marketing_question
Где найти информацию о скидках?,marketing_question
Какая максимальная скидка?,marketing_question
Бонусы сгорят?,marketing_question
Как не пропустить акцию?,marketing_question
